2022年度  京都女子大学授業科目開講一覧表
月
２講時 （10:35 ～ 12:05）
３講時 （13:00 ～ 14:30）
４講時 （14:45 ～ 16:15）
５講時 （16:30 ～ 18:00）
６講時 （18:10 ～ 19:40）
７講時 （オンデマンド）
4639: [前期] 基礎演習Ⅰ、掛谷 純子 Y307
4640: [前期] 基礎演習Ⅰ、奥井 亜紗子 F207
4641: [前期] 基礎演習Ⅰ、正木 大貴 Y207
4642: [前期] 基礎演習Ⅰ、坂爪 聡子 F109
4643: [前期] 基礎演習Ⅰ、澤 敬子 C506
4644: [前期] 基礎演習Ⅰ、森久 聡 S313・
4645: [前期] 基礎演習Ⅰ、江口 聡 S208・
4646: [前期] 基礎演習Ⅰ、野口　　実 E104-1・
4647: [前期] 基礎演習Ⅰ、諏訪 亜紀 S209・
4648: [前期] 基礎演習Ⅰ、亘 明志 S309・
4649: [前期] 基礎演習Ⅰ、佐藤 若菜 F113・
4650: [前期] 基礎演習Ⅰ、松田 哲 Y103・
4651: [前期] 基礎演習Ⅰ、嘉本 伊都子 Y101・
4652: [前期] 基礎演習Ⅰ、濱崎 由紀子 S212・
4653: [前期] 基礎演習Ⅰ、松本 充豊 Y303・
4656: [前期] 基礎演習Ⅰ、城戸 英樹 C507・
4658: [前期] 基礎演習Ⅰ、中山 貴夫 Y204・
4659: [前期] 基礎演習Ⅰ、丸野 由希 Y302
4660: [前期] 基礎演習Ⅰ、霜田 求 S306
4684: [前期] 基礎演習Ⅰ、江 向華 Y209
4689: [前期] 基礎演習Ⅰ、鳥谷　一生 C212
4661: [後期] 基礎演習Ⅱ、掛谷 純子 E104-2
4662: [後期] 基礎演習Ⅱ、正木 大貴 S306・
4663: [後期] 基礎演習Ⅱ、松本 充豊 C507・
4664: [後期] 基礎演習Ⅱ、坂爪 聡子 F110・
4665: [後期] 基礎演習Ⅱ、澤 敬子 Y301・
4667: [後期] 基礎演習Ⅱ、城戸 英樹 F113
4668: [後期] 基礎演習Ⅱ、水野　義之 C410・
4669: [後期] 基礎演習Ⅱ、鳥谷　一生 S212
4671: [後期] 基礎演習Ⅱ、道越 秀吾 S213・
4672: [後期] 基礎演習Ⅱ、丸野 由希 S109
4673: [後期] 基礎演習Ⅱ、諏訪 亜紀 Y103・
4674: [後期] 基礎演習Ⅱ、中道 仁美 S208・
4676: [後期] 基礎演習Ⅱ、嘉本 伊都子 研究室・
4677: [後期] 基礎演習Ⅱ、濱崎 由紀子 Y305・
4679: [後期] 基礎演習Ⅱ、野口　　実 E104-1・
4680: [後期] 基礎演習Ⅱ、津止 正敏 C212・
4681: [後期] 基礎演習Ⅱ、戸田 真紀子 F112
4682: [後期] 基礎演習Ⅱ、森久 聡 S209
4683: [後期] 基礎演習Ⅱ、林 忠行 S313
4685: [後期] 基礎演習Ⅱ、ティム カワニシ ヤング Y204
4686: [後期] 基礎演習Ⅱ、佐藤 若菜 Y208
4687: [後期] 基礎演習Ⅱ、江 向華 Y302
4688: [後期] 基礎演習Ⅱ、亘 明志 S314
4607: [前期] 数学入門、小川 洋子 ★
4608: [前期] 数学入門、林 芳樹 ★
4609: [前期] 数学入門、梅崎 英一 ★
4638: [後期] 西洋史概論、頼 順子 E101
2092: 英食造現法1 [後期] 教職論、小野寺 香 ★
4605: 現社1A [後前半] ジェンダーと現代社会、佐藤・亘 ★
4605: 現社1A [後後半] ジェンダーと現代社会、亘・佐藤★
4606: 現社1B [後前半] ジェンダーと現代社会、亘・佐藤 ★
4606: 現社1B [後後半] ジェンダーと現代社会、佐藤・亘 ★
4780: [前期] 情報数学、宮下 健輔 S207
4800: [前期] Japan Studies 1、ティム カワニシ ヤング S107
4716: [前期] コンピュータ・ネットワークⅠ、宮下 健輔 S207
4809: [前期] 特講A、宮下 健輔 S207
4740: [前期] 自然環境と生態系、中田　兼介 ★
4745: [前期] 文化人類学、佐藤 若菜 ★
2124: 英食造現2 [前前半] 人権教育論、岩槻 知也 C412
2106: 英食造現2 [前後半] 特別支援教育論、滝川　国芳
C412
4739: [前期] 人間学、藤井 隆道 ★
4741: [前期] 環境政策論、諏訪 亜紀 ★
2122: [後期] 教育方法論、守谷 久代 S110
4719: [後期] コンピュータ・ネットワークⅡ、中山 貴夫 S207
4764: [後期] 比較政治論、戸田 真紀子 E002
4793: [後期] 国際法、西片　聡哉 C308
4794: [後期] 応用プログラミングⅡ、丸野 由希 S109・
4810: [後期] 特講B、多田 伊織 ★
4799: [後期] 国際協力論、藤本 ・鈴木 E104-2
4742: [後期] 生命倫理学、霜田 求 ★
火
1189: [前期] 英語ⅠA1、木塚 恵子 C503 
1191: [前期] 英語ⅠA1、安田 洋子 C211 
1193: [前期] 英語ⅠA1、西尾 由利子 C304 
1195: [前期] 英語ⅠA1、西岡 武彦 E002 
1197: [前期] 英語ⅠA1、藤本 幸治 C311 
1309: [前期] 英語ⅠA2、リージャ　ラッセル C401 
1311: [前期] 英語ⅠA2、ｵﾘｳﾞｧｰ ﾀﾞﾏｯｺ C411 
1313: [前期] 英語ⅠA2、アマンダ オブライアン C202 
1315: [前期] 英語ⅠA2、キーラン　グリーン Y201 
1317: [前期] 英語ⅠA2、ｱﾝﾄﾞﾘｭｰ ﾒﾛｳ C301 
1319: [前期] 英語ⅠA2、ハロルド スコット C305
1190: [後期] 英語ⅠB1、木塚 恵子 C410 
1192: [後期] 英語ⅠB1、安田 洋子 C412 
1194: [後期] 英語ⅠB1、西尾 由利子 C403 
1196: [後期] 英語ⅠB1、西岡 武彦 E003 
1198: [後期] 英語ⅠB1、藤本 幸治 C311 
1310: [後期] 英語ⅠB2、リージャ　ラッセル C204・ 
1312: [後期] 英語ⅠB2、ｵﾘｳﾞｧｰ ﾀﾞﾏｯｺ C411 
1314: [後期] 英語ⅠB2、アマンダ オブライアン C307 
1316: [後期] 英語ⅠB2、キーラン　グリーン Y201 
1318: [後期] 英語ⅠB2、ｱﾝﾄﾞﾘｭｰ ﾒﾛｳ C301 
1320: [後期] 英語ⅠB2、ハロルド スコット C305
4718: [後期] コンピュータ・ネットワークⅡ、宮下 健輔 S207 
4792: [後期] 現代ラテンアメリカ論、中沢　知史 C401 
